,Clinic Name,Distance and Status,Address,Location,Contact Info
384,National Clinic,7.87 km - Closing in 1 hr 33 min,352 Clementi Ave 2 #01-119,Singapore 120352,T +65 6776 0127
385,Mindchamps Medical Clinic,7.87 km - Closed,11 Tanjong Katong Road #02-03 OneKM Shopping Mall,Singapore 437157,T +65 6384 5644
386,Ho Medical Centre,7.87 km - Closed,352 Clementi Ave 2 #01-115,Singapore 120352,T +65 6474 8923
387,Teo Clinic & Surgery,7.87 km - Closed,352 Clementi Ave 2 #01-111,Singapore 120352,T +65 6776 0216
388,Yeo's Clinic,7.88 km - Closing in 2 hr 3 min,354 Clementi Ave 2 #01-221,Singapore 120354,T +65 6779 0790
389,MacPherson Medical Clinic,7.88 km - Closed,78 Circuit Road #01-488,Singapore 370078,T +65 6746 3913
390,Dayspring Medical Clinic (Haig Road),7.89 km - Closing in 0 hr 33 min,30 Haig Road,Singapore 438737,T +65 6846 9979
391,Minmed Clinic (Haig Road),7.89 km - Closing in 0 hr 33 min,30 Haig Road,Singapore 438737,T +65 6846 9979
392,My Family Clinic (Clementi),7.9 km - Closed,420A Clementi Ave 1 #01-05 Casa Clementi,Singapore 120420,T +65 6694 2574
393,Phoenix Medical Group (Paya Lebar),7.92 km - Closing in 3 hr 3 min,60 Paya Lebar Road #02-09 Paya Lebar Square,Singapore 409051,T +65 6702 2940
394,Healthlink Medical Clinic & Surgery,7.92 km - Closing in 2 hr 3 min,5 Upper Aljunied Lane #01-46,Singapore 360005,T +65 6289 0885
395,YSL Aljunied Clinic & Surgery,7.92 km - Closing in 0 hr 33 min,5 Upper Aljunied Lane #01-42,Singapore 360005,T +65 6343 0626
396,L'ving Vine Medical & Wellness Clinic,7.93 km - Closing in 6 hr 33 min,154 West Coast Road #01-84/85 West Coast Plaza,Singapore 127371,T +65 6777 7442
397,Viva Medical Group (Westside),7.93 km - Closing in 1 hr 33 min,154 West Coast Road #01-81 West Coast Plaza,Singapore 127371,T +65 6777 9069
398,Phoenix Medical Group (Novena),7.94 km - Closing in 0 hr 33 min,"Blk 275 Thomson Road, Novena Regency, #01-05",Singapore 307645,T +65 6254 3862
399,Teh's Clinic & Surgery,7.96 km - Closing in 3 hr 33 min,64 Circuit Road #01-339,Singapore 370064,T +65 6746 4117
400,Chan Family Clinic,7.98 km - Closing in 0 hr 33 min,865 Mountbatten Road #02-81H Katong Shopping Centre,Singapore 437844,T +65 6345 4683
401,Prudence Family Clinic,7.99 km - Closing in 0 hr 3 min,512 Bishan Street 13 #01-524,Singapore 570512,T +65 6251 5512
402,Horizon Medical Centre,8.02 km - Closing in 7 hr 33 min,200 Upper Thomson Road #01-11 Thomson Imperial Court,Singapore 574424,T +65 6250 2692
403,Chin Choo Clinic,8.04 km - Closing in 1 hr 33 min,35 Circuit Road #01-430,Singapore 370035,T +65 6745 2815
404,Minmed Clinic (Paya Lebar),8.08 km - Closing in 2 hr 33 min,"10, Eunos Road 8 #02-122, Singapore Post Centre",Singapore 408600,T +65 6749 0123
405,Lifecare Medical Centre,8.1 km - Closing in 0 hr 33 min,36 Circuit Road #01-416,Singapore 370036,T +65 6746 1533
406,The Flame Tree Medical Centre,8.12 km - Closing in 0 hr 33 min,225 Upper Thomson Road,Singapore 574357,T +65 6451 2818
407,C.M.C. Wong Binjai Clinic,8.13 km - Closing in 1 hr 33 min,23 Binjai Park,Singapore 589828,T +65 6469 3737
408,L & L Family Medicine Clinic,8.14 km - Closing in 2 hr 3 min,6 Sin Ming Road #01-07 Sin Ming Plaza Tower 2,Singapore 575585,T +65 6458 8001
409,Chong's Clinic,8.15 km - Closing in 1 hr 33 min,234 Upper Thomson Road,Singapore 574365,T +65 6453 6492
410,Dr Chen And Partners Medical Clinic,8.17 km - Closing in 9 hr 33 min,9 Sin Ming Road#B1-01 Thomson V One,Singapore 575630,T +65 8123 3740
411,Family Life Clinic,8.18 km - Closing in 2 hr 3 min,727 Clementi West St 2 #01-264,Singapore 120727,T +65 6774 4678
412,Healthway West Coast Clinic,8.18 km - Closing in 0 hr 3 min,727 Clementi West St 2 #01-258,Singapore 120727,T +65 6774 5901
413,Keystone Clinic & Surgery,8.24 km - Closing in 5 hr 33 min,"57A, New Upper Changi Road #01-1396",Singapore 462057,T +65 9296 5568
414,GP@Joo Chiat Clinic,8.28 km - Closed,"194, Joo Chiat Road #01-01",Singapore 427465,T +65 6018 9930
415,Wisma Geylang Serai Clinic & Surgery,8.3 km - Closing in 4 hr 33 min,1 Geylang Serai #01-208 Sri Geylang Serai,Singapore 402001,T +65 6747 8072
416,Shenton Family Medical Clinic (Clementi),8.36 km - Closing in 3 hr 3 min,451 Clementi Ave 3 #01-309,Singapore 120451,T +65 6773 9150
417,Lee Clinic,8.36 km - Closing in 2 hr 3 min,325 Clementi Ave 5 #01-139,Singapore 120325,T +65 6778 4608
418,Maju Clinic by Silkroutes Medihealth Pte Ltd,8.4 km - Closing in 3 hr 33 min,414 Eunos Road 5 #01-60,Singapore 400414,T +65 6742 2933
419,International Medical Clinic,8.41 km - Closing in 3 hr 3 min,88 East Coast Road #Katong Square #02-07,Singapore 423371,T +65 6342 4440 F +65 6440 4441
420,The Dublin Clinic,8.41 km - Closed,109 Clementi St 11 #01-25 Sunset Way,Singapore 120109,T +65 6774 7300
421,Central 24-Hr Clinic (Clementi),8.42 km - Open 24 Hrs,450 Clementi Ave 3 #01-291,Singapore 120450,T +65 6773 2925 F +65 6773 2927
422,LC Clinic Medical Surgery Aesthetic,8.42 km - Closing in 5 hr 32 min,446 Clementi Ave 3 #01-191,Singapore 120446,T +65 6464 0932
423,RafflesMedical,8.42 km - Closing in 3 hr 2 min,Blk 446 Clementi Avenue 3 #01-189,Singapore 120446,T +65 6872 9043
424,Trinity Medical Centre (Marine Parade),8.43 km - Closing in 5 hr 32 min,87 Marine Parade Central #02-500A,Singapore 440087,T +65 6344 0027
425,Wee Medical Clinic,8.44 km - Closed,378 Clementi Ave 5 #01-342,Singapore 120378,T +65 6777 5755
426,Raffles Medical Group (Joo Chiat Road),8.47 km - Closing in 3 hr 2 min,"471, Joo Chiat Road",Singapore 427680,T +65 6883 5008
427,Onecare Clinic Clementi,8.47 km - Closed,Blk 449 Clementi Avenue 3 #01-241,Singapore 120449,T +65 6970 9300
428,Frontier Family Medicine Clinic,8.48 km - Closing in 3 hr 2 min,3151 Commonwealth Ave West #04-01 Cityvibe,Singapore 129581,T +65 6778 8362
429,Lee Clinic,8.48 km - Closed,467C Joo Chiat Road,Singapore 427678,T +65 6344 6168
430,Lifeline Medical Centre,8.49 km - Closing in 2 hr 2 min,710 Clementi West St 2 #01-261,Singapore 120710,T +65 6777 2891
431,81 Family Clinic,8.52 km - Closed,86 Marine Parade Central #01-670,Singapore 440086,T +65 6346 6768
432,The Chong Family Clinic Pte Ltd,8.54 km - Closing in 0 hr 32 min,Blk 442 Clementi Avenue 3 #01-113,Singapore 120442,T +65 6266 1998
433,DR+ Medical & Paincare Clinic (East Coast),8.57 km - Closed,146 East Coast Road,Singapore 428835,T +65 6320 0116
434,Mediline Wei Min Clinic,8.59 km - Closing in 9 hr 32 min,81 Marine Parade Central #01-634,Singapore 440081,T +65 6247 9221
435,Central Clinic & Surgery (Marine Parade),8.59 km - Closing in 3 hr 32 min,81 Marine Parade Central #01-630,Singapore 440081,T +65 6346 6277
436,OneCare Clinic Marine Parade,8.59 km - Closing in 0 hr 32 min,81 Marine Parade Central #01-644,Singapore 440081,T +65 6344 1620
437,Healthway Medical Clinic (Clementi),8.59 km - Closing in 0 hr 2 min,443 Clementi Ave 3 #01-63,Singapore 120443,T +65 6872 2214
438,Changi Clinic,8.63 km - Closing in 2 hr 32 min,848 Sims Avenue #01-734,Singapore 400848,T +65 6742 8865
439,Dr. Tan & Partners @ Katong,8.68 km - Closing in 6 hr 32 min,184 East Coast Road,Singapore 428890,T +65 6635 2551
440,Lan Medical Clinic & Surgery,8.69 km - Closing in 2 hr 2 min,308 Clementi Ave 4 #01-345,Singapore 120308,T +65 6773 5112
441,Chin Leong Clinic,8.69 km - Closed,517 West Coast Road #01-555,Singapore 120517,T +65 6778 9493
442,RafflesMedical (Clementi),8.71 km - Closing in 3 hr 2 min,431 Clementi Ave 3 #01-306,Singapore 120431,T +65 6872 9043
443,E L Chin Family Clinic and Surgery,8.72 km - Closing in 2 hr 2 min,432 Clementi Ave 3 #01-272,Singapore 120432,T +65 6777 5182
444,My Clinic,8.73 km - Closed,9 King Albert Park #01-50,Singapore 598332,T +65 6610 8335
445,Dr Care Medical Clinic,8.76 km - Closing in 2 hr 17 min,Blk 18 Jalan Membina,Singapore 164018,T +65 8666 5500
446,Kai Clinic,8.78 km - Closed,223 East Coast Road,Singapore 428920,T +65 6344 1377
447,My Family Clinic (Clementi 325),8.81 km - Closing in 2 hr 2 min,325 Clementi Ave 5  #01-139,Singapore 120325,T +65 6778 4608
448,The Clinic @ Tai Seng,8.82 km - Closing in 3 hr 32 min,18 Tai Seng Street #Mapletree 18 #01-07/08,Singapore 539775,T +65 6384 0160
449,Tai Seng Clinic,8.82 km - Closing in 2 hr 2 min,137 Upper Paya Lebar Road,Singapore 534844,T +65 6288 2434
450,Kong Kian Clinic,8.84 km - Closing in 2 hr 32 min,187 Upper Paya Lebar Road,Singapore 534869,T +65 6288 7101
451,Affinity Medical Clinic,8.85 km - Closed,Blk 253 Serangoon Central Drive ##01-187,Singapore 550253,T +65 6280 8080
452,RafflesMedical (Bishan),8.88 km - Closing in 3 hr 2 min,283 Bishan St 22 #01-177,Singapore 570283,T +65 6456 7122
453,Aspen Clinic,8.88 km - Closing in 2 hr 2 min,283 Bishan St 22 #01-185,Singapore 570283,T +65 6455 3829
454,The Bishan Family Doctors,8.88 km - Closing in 1 hr 32 min,283 Bishan St 22 #01-181,Singapore 570283,T +65 6454 6698
455,Anderson Medical Centre,8.88 km - Closed,283 Bishan St 22 #01-173,Singapore 570283,T +65 6459 9195
456,1 Bishan Medical,8.91 km - Closed,283 Bishan Street 22 #01-191,Singapore 570283,T +65 6456 1600
457,Chang Clinic,8.92 km - Closing in 3 hr 2 min,1 Jalan Anak Bukit #B1-08 to 10 Bukit Timah Plaza,Singapore 588996,T +65 6466 3811
458,Bethesda Medical @ Cereza,8.92 km - Closing in 2 hr 32 min,"3, Chin Cheng Avenue",Singapore 429401,T +65 8816 9933
459,EC Family Clinic,8.93 km - Closing in 8 hr 32 min,30 Eunos Crescent #01-17/18 Eunos MRT station,Singapore 409423,T +65 6742 6103
460,Neoh & Ong Medical Clinic,8.96 km - Closing in 2 hr 32 min,2A Eunos Crescent #01-2447,Singapore 401002,T +65 6742 3322
461,OneDoctors Medical Centre (Serangoon),8.98 km - Closing in 7 hr 32 min,23 Serangoon Central #01-54/55 NEX,Singapore 556083,T +65 6634 4918
462,MyHealth Medical Centre,8.98 km - Closing in 3 hr 1 min,501 West Coast Drive #01-256,Singapore 120501,T +65 6872 6920
463,RafflesMedical (Serangoon),8.98 km - Closing in 3 hr 1 min,23 Serangoon Central #B2-01 NEX,Singapore 556083,T +65 6634 2585
464,Faber Clinic & Surgery,8.98 km - Closing in 2 hr 31 min,501 West Coast Drive #01-284,Singapore 120501,T +65 6776 7723
465,Crescent Clinic & Surgery,9 km - Closing in 2 hr 31 min,1A Eunos Crescent #01-2473,Singapore 401001,T +65 6745 8624
466,Garden Clinic,9.09 km - Closed,304 Serangoon Ave 2 #01-04,Singapore 550304,T +65 6382 1878
467,Unity Family Medicine Clinic,9.12 km - Closing in 3 hr 31 min,264 Serangoon Central #01-25,Singapore 550264,T +65 6281 2638
468,Drs Lim & Chan Clinic,9.16 km - Closed,2 Lorong Lew Lian #01-50,Singapore 531002,T +65 6280 3009
469,Kensington Square Medical Clinic And Surgery,9.17 km - Closing in 9 hr 31 min,2 Jalan Lokam #01-57 Kensington Square,Singapore 537846,T +65 6908 4391
470,Koh's T & T Clinic & Surgery,9.17 km - Closing in 2 hr 1 min,237 Serangoon Ave 3 #01-126,Singapore 550237,T +65 6382 3103
471,Sterling Clinic & Surgery,9.19 km - Closing in 2 hr 1 min,3 Lorong Liew Lian #01-64,Singapore 531003,T +65 6284 9971
472,Healthcare Family Clinic & Surgery,9.23 km - Closing in 1 hr 31 min,403 Sin Ming Avenue #01-311,Singapore 570403,T +65 6454 2373
473,Lim Clinic,9.25 km - Closing in 2 hr 31 min,"295, Changi Road",Singapore 419773,T +65 6742 6335
474,Lim Clinic (Changi Road),9.25 km - Closing in 2 hr 31 min,295 Changi Road,Singapore 419773,T +65 6742 6335
475,Silver Cross Family Clinic (Serangoon),9.27 km - Closing in 9 hr 31 min,262 Serangoon Central Drive #01-109,Singapore 550262,T +65 6287 8702
476,Q & M Medical Family Clinic,9.27 km - Closing in 2 hr 31 min,262 Serangoon Central Drive #01-115,Singapore 550262,T +65 6488 2336
477,Shenton Medical Group (Serangoon),9.28 km - Closing in 2 hr 31 min,263 Serangoon Central Drive #01-59,Singapore 550263,T +65 6487 6580
478,Chungkiaw Clinic,9.29 km - Closing in 1 hr 31 min,68 Jalan Jurong Kechil #01-01 Suites at Bukit Timah,Singapore 596180,T +65 6466 2255
479,Siglap Clinic,9.33 km - Closing in 1 hr 31 min,308 Telok Kurau Road #01-08 Vibes@East Coast,Singapore 423858,T +65 6348 8389
480,Mindchamps Medical Clinic,9.37 km - Closing in 2 hr 31 min,1 West Coast Drive #01-23 Newest,Singapore 128020,T +65 6255 4010
481,Newest Medical and Laser Clinic,9.37 km - Closing in 0 hr 1 min,1 West Coast Drive #01-49/50 Newest,Singapore 128020,T +65 6266 0451
482,Yarra Medical Clinic,9.37 km - Closed,1 West Coast Drive #01-11 Newest,Singapore 128020,T +65 6264 3703
483,OneCare Clinic Ubi,9.38 km - Closing in 0 hr 31 min,"302, Ubi Avenue 1 #01-31",Singapore 400302,T +65 6514 1708
484,Frontier Medical Associates (Ubi),9.39 km - Closing in 6 hr 31 min,304 Ubi Ave 1 #01-87,Singapore 400304,T +65 6746 0909
485,Healthway Medical Group AMK,9.39 km - Closing in 2 hr 31 min,330 Ang Mo Kio Ave 1 #01-1803,Singapore 560330,T +65 6553 0100
486,Caritas Clinic,9.39 km - Closing in 1 hr 31 min,304 Ubi Ave 1 #01-127,Singapore 400304,T +65 6748 9284
487,Family Medicine Clinic,9.4 km - Closed,58 Marine Terrace #01-65,Singapore 440058,T +65 6449 1606
488,Silver Cross 24Hr Clinic (Upper Bukit Timah),9.44 km - Closing in 9 hr 31 min,3 Cheong Chin Nam Road,Singapore 599728,T +65 6875 1191
489,Great Health Medical Clinic,9.46 km - Closing in 7 hr 1 min,407 Ang Mo Kio Ave 10 #01-749,Singapore 560407,T +65 6456 1767
490,Ubi Family Clinic & Surgery,9.46 km - Closing in 1 hr 31 min,305 Ubi Ave 1 #01-167,Singapore 400305,T +65 6749 7922
491,1 Medical Teck Ghee,9.46 km - Closed,Blk 410 Ang Mo Kio Avenue 10 #01-837 Teck Ghee Square,Singapore 560410,T +65 6251 7030
492,Intemedical Teck Ghee,9.48 km - Closing in 9 hr 31 min,338 Ang Mo Kio Ave 1  #01-1625,Singapore 560338,T +65 6904 9579
493,Healthpath Medical Clinic And Surgery,9.48 km - Closing in 2 hr 31 min,338 Ang Mo Kio Ave 1 #01-1651,Singapore 560338,T +65 6483 2556
494,338 Family Clinic,9.48 km - Closing in 2 hr 1 min,338 Ang Mo Kio Ave 1 #01-1615,Singapore 560338,T +65 6454 9408
495,Daily Medical Centre,9.48 km - Closed,159 Hougang St 11 #01-17,Singapore 530159,T +65 6284 3218
496,Cheong Medical Clinic,9.48 km - Closed,76 Jalan Jurong Kechil,Singapore 598589,T +65 6468 6311
497,Marine Parade Clinic,9.49 km - Closing in 3 hr 31 min,59 Marine Terrace #01-81,Singapore 440059,T +65 6241 9065
498,Bukit Timah Nam Sang Clinic,9.49 km - Closing in 2 hr 31 min,80 Jalan Jurong Kechil,Singapore 598591,T +65 6469 0760
499,Accord Medical Clinic,9.5 km - Closing in 7 hr 31 min,325 Ubi Ave 1 #01-701,Singapore 400325,T +65 6844 1528
500,Advance Clinic & Surgery,9.52 km - Closing in 3 hr 1 min,301 Ubi Ave 1 #01-269,Singapore 400301,T +65 6742 1156
501,HK Family Clinic & Surgery,9.52 km - Closed,410 Ang Mo Kio Ave 10 #01-817,Singapore 560410,T +65 6552 8757
502,AceHealth Medical,9.53 km - Closed,"Blk 316B Ang Mo Kio Street 31, Teck Ghee Vista #01-10",Singapore 563316,T +65 6252 6772
503,Tong Clinic & Surgery,9.57 km - Closing in 2 hr 1 min,316B Ang Mo Kio St 31 #01-05,Singapore 563316,T +65 6452 8311
504,Ong Medical Clinic,9.57 km - Closed,316B Ang Mo Kio St 31 #01-10,Singapore 563316,T +65 6452 3586
505,Faith Family Clinic,9.61 km - Closing in 2 hr 0 min,57 Marine Terrace #01-113,Singapore 440057,T +65 6446 6326
506,Marine Terrace Family Clinic,9.61 km - Closed,57 Marine Terrace #01-129,Singapore 440057,T +65 6442 0188
507,GSH Clinic & Surgery,9.63 km - Closed,9 Yio Chu Kang Road #01-40 Space@Kovan,Singapore 545523,T +65 6260 5942
508,CareDoc Medical Clinic,9.66 km - Closing in 2 hr 30 min,Blk 215 Ang Mo Kio Avenue 1 #01-907,Singapore 560215,T +65 6518 4771
509,Tan Medical Clinic,9.66 km - Closed,339 Ang Mo Kio Ave 1 #01-1583,Singapore 560339,T +65 6453 0482
510,Comfort Clinic & Surgery,9.69 km - Closing in 1 hr 30 min,214 Serangoon Ave 4 #01-100,Singapore 550214,T +65 6280 7271
511,Family Health Medical Centre,9.71 km - Closing in 1 hr 30 min,226G Ang Mo Kio Ave 1 #01-681,Singapore 567226,T +65 6454 1980
512,Wong Clinic & Surgery,9.72 km - Closed,416 Ang Mo Kio Ave 10 #01-997,Singapore 560416,T +65 6454 8361
513,Ki Medical Clinic,9.72 km - Closed,416 Ang Mo Kio Ave 10 #01-975,Singapore 560416,T +65 6455 4475
514,Mission Medical Clinic,9.76 km - Closing in 0 hr 0 min,780 Upper Serangoon Road #01-001 Choon Kim House,Singapore 534649,T +65 6289 2100
515,S Y Ng Clinic,9.77 km - Closing in 2 hr 0 min,226A Ang Mo Kio Ave 1 #01-631,Singapore 561226,T +65 6452 8144
516,Trucare Medical And Surgery,9.78 km - Closing in 2 hr 30 min,Blk 226A Ang Mo Kio Avenue 1 #Kebun Baru Mall #01-631,Singapore 561226,T +65 6255 8849
517,Tan-Teoh Clinic & Surgery (AMK),9.8 km - Closed,302 Ang Mo Kio Ave 3 #01-1846,Singapore 560302,T +65 6452 0818
518,Lo & Lee Clinic & Surgery,9.84 km - Closing in 1 hr 30 min,134 Lorong Ah Soo #01-462,Singapore 530134,T +65 6285 5688
519,Tng Family Clinic,9.88 km - Closing in 1 hr 30 min,347 Ang Mo Kio Ave 3 #01-2126,Singapore 560347,T +65 6454 1203
520,Esteemed Medical Clinic,9.9 km - Closing in 1 hr 30 min,260 Ang Mo Kio St 21 #01-01,Singapore 560260,T +65 6924 8215
521,Healthway Medical Clinic (Lengkong Tiga),9.92 km - Closing in 2 hr 0 min,110 Lengkong Tiga #01-231,Singapore 410110,T +65 6749 4062
522,Clarion Medical,9.94 km - Closing in 6 hr 0 min,202 Ang Mo Kio Avenue 3 #Ang Mo Kio View #01-1676,Singapore 560202,T +65 6353 0818 F +65 6353 2118
523,S G Clinic Family Practice,10.03 km - Closed,84 Serangoon Garden Way,Singapore 555980,T +65 6382 1988
524,A+Ffordable Clinic (Amk Ave 10),10.06 km - Closed,Blk 449 Ang Mo Kio Avenue 10 ##01-1715,Singapore 560449,T +65 6343 7731 F +65 6343 6528
525,Tein Clinic & Surgery,10.07 km - Closing in 2 hr 0 min,124 Hougang Ave 1 #01-1434,Singapore 530124,T +65 6282 8504
526,Cheng Clinic,10.07 km - Closing in 1 hr 45 min,447 Ang Mo Kio Ave 10 #01-1677,Singapore 560447,T +65 6454 2482
527,AMK Family Clinic,10.08 km - Closing in 0 hr 30 min,51 Ang Mo Kio Ave 3 #01-01 NO 51 @ AMK,Singapore 569922,T +65 6454 4204
528,Lim Clinic,10.09 km - Closing in 2 hr 0 min,446 Ang Mo Kio Ave 10 #01-1663,Singapore 560446,T +65 6454 9172
529,Healthlink (AMK) Medical Centre,10.15 km - Closing in 2 hr 0 min,108 Ang Mo Kio Ave 4 #01-86,Singapore 560108,T +65 6457 1636
530,Advantage Medical Clinic,10.16 km - Closing in 3 hr 30 min,1 Fifth Ave Guthrie House #03-12,Singapore 268802,T +65 6467 1344
531,Tay Clinic,10.17 km - Closing in 3 hr 0 min,117 Bedok Reservoir Road #01-62,Singapore 470117,T +65 6741 9936
532,Wong Family Clinic & Surgery,10.17 km - Closing in 2 hr 30 min,117 Bedok Reservoir Road #01-68,Singapore 470117,T +65 6846 1613
533,Alliance Clinic & Partners,10.17 km - Closing in 2 hr 0 min,652 Jalan Tenaga #01-50,Singapore 410652,T +65 6846 9585
534,Bok Family Clinic,10.17 km - Closing in 2 hr 0 min,117 Bedok Reservoir Road #01-58,Singapore 470117,T +65 6747 8200
535,Onecare Clinic Ang Mo Kio,10.17 km - Closing in 0 hr 30 min,452 Ang Mo Kio Avenue 10 #01-1789,Singapore 560452,T +65 6592 0764
536,Mediline Wei Min Clinic,10.18 km - Closing in 7 hr 30 min,14 Kensington Park Road,Singapore 557265,T +65 6288 6029
537,Northeast Medical Group (AMK),10.19 km - Closing in 7 hr 30 min,2450 Ang Mo Kio Ave 8 #01-02 Ang Mo Kio Mrt Station,Singapore 569811,T +65 6452 4910
538,Ee Clinic,10.19 km - Closing in 2 hr 0 min,128 Ang Mo Kio Ave 3 #01-1859,Singapore 560128,T +65 6452 1042
539,Kensington Family Clinic,10.19 km - Closing in 0 hr 30 min,14D Kensington Park Road #Serangoon Garden,Singapore 557265,T +65 6288 4882
540,JJ Clinic & Surgery,10.2 km - Closing in 1 hr 59 min,107 Ang Mo Kio Ave 4 #01-150,Singapore 560107,T +65 6459 5594
541,Teck Ghee Clinic,10.21 km - Closing in 5 hr 59 min,451 Ang Mo Kio Ave 10 #01-1765,Singapore 560451,T +65 6452 7971
542,Joyspring Family Clinic,10.21 km - Closing in 0 hr 29 min,133 Ang Mo Kio Ave 3 #01-1643,Singapore 560133,T +65 6455 1560
543,Pancare Medical Clinic,10.21 km - Closed,133 Ang Mo Kio Ave 3 #01-1651,Singapore 560133,T +65 6258 3186
544,Singapore Aeromedical Centre,10.22 km - Closing in 2 hr 59 min,492 Airport Road #01-01 Aeromedical Centre,Singapore 539945,T +65 6488 0627
545,Hill Spring Medical,10.22 km - Closing in 1 hr 29 min,12 Jalan Leban #Sembawang Hills Estate,Singapore 577552,T +65 6456 3200
546,Peace Family Clinic & Surgery,10.24 km - Closing in 2 hr 29 min,452 Ang Mo Kio Ave 10 #01-1787,Singapore 560452,T +65 6451 6558
547,SATA Commhealth Medical Centre - Ang Mo Kio,10.24 km - Closing in 2 hr 29 min,715 Ang Mo Kio Ave 6 #01-4008 & 4010,Singapore 560715,T +65 6244 6688
548,Tan & Koh Clinic & Surgery (Bedok Reservoir),10.27 km - Closing in 1 hr 59 min,121 Bedok Reservoir Road #01-196,Singapore 470121,T +65 6745 2288
549,Singapore Family Clinic & Surgery (Hougang),10.28 km - Closing in 2 hr 29 min,108 Hougang Ave 1 #01-1299,Singapore 530108,T +65 6284 9692
550,OneDoctors Family Clinic (AMK),10.29 km - Closing in 8 hr 29 min,710 Ang Mo Kio Ave 8 #01-2613,Singapore 560710,T +65 6554 2918
551,Life Family Clinic,10.3 km - Closing in 2 hr 59 min,713 Ang Mo Kio Ave 6 #01-4052,Singapore 560713,T +65 6456 3535
552,Ang Mo Kio Family Medicine Clinic,10.34 km - Closing in 2 hr 29 min,4190 Ang Mo Kio Ave 6 #03-01 Broadway Plaza,Singapore 569841,T +65 6554 1133
553,A1 Medical Clinic,10.34 km - Closed,Blk 418 Bedok North Avenue 2  ##01-63,Singapore 460418,T +65 6493 0198 F +65 6493 0189
554,RafflesMedical (Ang Mo Kio),10.4 km - Closing in 2 hr 59 min,722 Ang Mo Kio Ave 8 #01-2825,Singapore 560722,T +65 6453 2288
555,Shenton Family Medical Clinic  (Ang Mo Kio),10.42 km - Closing in 2 hr 44 min,728 Ang Mo Kio Ave 6 #01-4208,Singapore 560728,T +65 6554 5130
556,Healthway Medical Clinic (AMK Ave 8),10.43 km - Closing in 7 hr 29 min,721 Ang Mo Kio Ave 8 #01-2801,Singapore 560721,T +65 6455 4629
557,Family Medicare Clinic & Surgery,10.43 km - Closing in 1 hr 29 min,721 Ang Mo Kio Ave 8 #01-2815,Singapore 560721,T +65 6456 6582
558,Frontier Medical Associates (AMK),10.44 km - Closing in 1 hr 59 min,163 Ang Mo Kio Ave 4 #01-426,Singapore 560163,T +65 6453 2571
559,Lifecare Family Clinic & Surgery,10.45 km - Closing in 1 hr 59 min,106 Hougang Ave 1 #01-1221,Singapore 530106,T +65 6282 2482
560,PK Ang Family Clinic & Surgery,10.45 km - Closing in 1 hr 59 min,106 Hougang Ave 1 #01-1225,Singapore 530106,T +65 6284 3022
561,Drs Lim & Chan Clinic,10.45 km - Closed,106 Hougang Ave 1 #01-1235,Singapore 530106,T +65 6280 0990
562,Well Family Clinic & Surgery,10.47 km - Closed,555 Ang Mo Kio Ave 10 #01-1948,Singapore 560555,T +65 6454 9519
563,London (MH) Clinic & Surgery,10.48 km - Closing in 1 hr 14 min,104 Hougang Ave 1 #01-1123,Singapore 530104,T +65 6280 7262
564,OneCare Clinic Hougang,10.48 km - Closing in 0 hr 29 min,104 Hougang Ave 1 #01-1125,Singapore 530104,T +65 6525 0325
565,Pandan Clinic,10.49 km - Closing in 1 hr 59 min,415 Pandan Gardens #01-115,Singapore 600415,T +65 6560 3186
566,Liang Clinic,10.5 km - Closing in 2 hr 29 min,695D East Coast Road,Singapore 459059,T +65 6241 5944
567,Goh Clinic & Surgery,10.52 km - Closing in 1 hr 29 min,204 Hougang St 21 #01-101,Singapore 530204,T +65 6386 3836
568,Vital-Care Clinic And Surgery Pte Ltd,10.53 km - Closing in 0 hr 29 min,Blk 525 Ang Mo Kio Avenue 10 #Cheng San Centre #01-2399,Singapore 560525,T +65 6256 5154 F +65 6391 0279
569,Pinnacle Family Clinic (Serangoon North),10.55 km - Closing in 1 hr 29 min,Blk 518 Serangoon North Ave 4 #B1-208,Singapore 550518,T +65 6219 3910
570,Parkway Shenton Medical Group (Kovan),10.57 km - Closing in 3 hr 29 min,205 Hougang St 21 #03-20 Heartland Mall,Singapore 530205,T +65 6227 7777
571,Intemedical 24 Hour Clinic,10.58 km - Open 24 Hrs,525 Ang Mo Kio Ave 10 #01- 407 Cheng San Centre,Singapore 560525,T +65 6919 2998
572,Healthcare Medical @ Kovan,10.59 km - Closing in 2 hr 29 min,208 Hougang St 21 #01-205,Singapore 530208,T +65 6282 1118
573,Lim Country Clinic,10.59 km - Closing in 1 hr 29 min,208 Hougang St 21 #01-207,Singapore 530208,T +65 6286 8047
574,Grace Clinic & Surgery,10.6 km - Closing in 1 hr 59 min,607 Ang Mo Kio Ave 10 #01-1295,Singapore 560607,T +65 6458 4280
575,Healthcare AMK Medical Clinic,10.63 km - Closed,Blk 157 Ang Mo Kio Avenue 4 #Mayflower Shopping & Food Centre #01-578,Singapore 560157,T +65 6451 1528 F +65 6457 3782
576,Ang Mo Kio Medical Centre,10.64 km - Closing in 3 hr 29 min,157 Ang Mo Kio Ave 4 #01-558,Singapore 560157,T +65 6457 0273
577,RafflesMedical (Siglap Centre),10.64 km - Closing in 2 hr 59 min,55 Siglap Road #02-11/12 Siglap Centre,Singapore 455871,T +65 6442 0488
